Companies,URL,CBInsightsDescription,QuidDescription,CrunchbaseDescription
Lilt,lilt.com,Lilt provides interactive and adaptive machine-assisted translation tools. Translators can translate documents via a web-based CAT tool. Localization providers can integrate Lilt into their existing systems via a web API.,"Lilt, Inc. develops and operates an artificial intelligence (AI) based enterprise translation software. Its solution combines adaptive neural machine translation technology, enterprise translation management system, and professional translators to give organizations to scale translation programs, go-to-market fast, and improve the global customer experience. Its customers include Fortune 500 companies like Intel, consumer brands such as ASICS, technology companies such as WalkMe, Sprinklr, DigitalOcean, and Canva, and other financial, media, healthcare, and manufacturing companies around the world. The company was incorporated in 2015 and is based in San Francisco, California. It has additional offices in Indianapolis, Indiana and Dublin, Ireland.",Lilt is the modern language service and technology provider enabling localized customer experiences.
Magic AI,magicai.io,Magic AI is a computer vision-based machine learning company that collects and analyzes data on animal behavior.,"Magic AI Corp develops a platform through machine learning to video stream animals and humans, for non-verbal forms of data and communication. The company's product Stableguard, operates as a platform for the equine industry to improve the health and security of premium horses and stables. The company was founded in 2017 and is headquartered in Seattle, Washington.","Magic AI  is a platform that brings artificial intelligence, virtual reality, and augmented reality to specific industries and verticals."
Megan Media,meganmedia.com,"Megan Media develops the Athena Prime Platform, which combines advanced machine learning, deep learning, advanced data analytics, and automation to deliver superior results when it comes to Facebook Marketing efforts.","Megan Media, LLC provides artificial intelligence (AI) based content marketing solutions. The company was founded in 2008 and is based in San Francisco, California.",Megan Media is an influencer marketing company. We pioneered the influencer marketing industry when we launched SocialMoms in 2008.
Mirror That Look,mirrorthatlook.com,"Mirror That Look has built a powerful AI- backed visual search technology for visual-oriented products such as fashion goods - clothing, handbags, shoes, etc. - to help consumers get real-time shop-the-look results and compare prices across brands and retailers.","AI-powered visual search technology for visually oriented products, serving fashion, retail, e-commerce. Artificial intelligence has long been considered the next game changer in process efficiency. But being notoriously computational intensive, artificial intelligence won't be able to deliver unless it runs fast enough and accurate enough. At lacelook, they have developed a network structure that is efficient and scalable enough to process fashion products from the entire internet and every single web store at once and return real-time results to consumers. They are also the only one that can accurately detect fashion products worn on persons in real-life settings, in other words fashion products in user-generated contents, instead of just singulated fashion items in clean stock photos.","AI-powered visual search technology for visually oriented products, serving fashion, retail, e-commerce."
Miso Technologies,askmiso.com,"Miso Technologies developed an AI assistant that delivers a contextual feed of research papers, news articles, blog posts, and open-source repos.","Miso Technologies, Inc, doing business as Miso, designs and develops API products. The company offers product recommendation and search UX tools. Miso Technologies, Inc was incorporated in 2017 and is based in San Francisco, California.",Build Search like Google and Product Recs like Amazon in minutes not months with Miso's small data personalization APIs
MoBagel,mobagel.com,"MoBagel's Decanter AI engine offers real-time analytics tools that let users see the behavior, churning circumstances, command and status history, and malfunctions in visualized graphs. MoBagel helps identify customers and scale business.","MoBagel, Inc. develops cloud-based software for device analytics, automated data preprocessing, model building, model evaluation, and model deployment. It offers Decanter AI, a system that delivers automated machine learning for enterprises; empowers data scientists and business analysts with machine learning technologies through a visual interface, allowing enterprises to solve business challenges using an AI-driven approach by building accurate predictive models. The company serves banking, finance, retail, manufacturing, telecom, and government industries. MoBagel, Inc. was incorporated in 2015 and is headquartered in San Jose, California. It has locations in Taipei, Taiwan; Shanghai and Beijing, China; and Tokyo, Japan.",MoBagel provides AI-driven decision-making software and services to enterprises.
Mockmate,mockmate.com,Mockmate helps job seekers practice interviewing and companies screen candidates faster using natural language processing.,"Mockmate helps: job seekers practice interviewing, and companies screen candidates faster using natural language processing. Our mission is to use technology to improve getting a job and the entire hiring process, unlocking opportunity for candidates and growing the talent pool for companies. We're using NLP to analyse the answers of the candidates and provide them with immediate feedback and scoring. In the last few months, we got 2500 jobseekers subscriptions and we're growing week-on-week by 17%. We've also helped 9 companies screen applications for 10 different positions. #natural language processing #Recruitment #talent acquisition #AI #NLP #HRTech #Conversational AI #future of work #interviewing #natural language processing #Recruitment #talent acquisition #AI #NLP #HR Tech #Conversational AI #future of work #interviewing.","Mockmate helps: job seekers practice interviewing, and companies screen candidates faster using natural language processing."
Modality.AI,modality.ai,Modality.AI detects health conditions using conversational AI. The company's platform analyzes the video of a user (recorded while the user interacts with an on-screen avatar) for facial movements and speech patterns to evaluate changes in neurological diseases which provides objective data to clinical drug trials.,"Modality.AI, Inc. develops AI-backed healthcare screening solutions. It offers Modality.AI, a solution that helps pharmaceutical companies to improve the efficiency of clinical trials for therapies of neurological and mental conditions by providing a portfolio of audio-visual biomarkers. The companys platform also engages subjects in naturalistic spoken interaction and analyzes their speech responses and facial behaviors, providing objective measures that have been shown to correlate with the clinical outcome. Modality.AI, Inc. was incorporated in 2018 and is based in San Francisco, California.",Modality.AI is an AI-powered platform that detects health conditions using conversational AI.
Mode.ai,mode.ai,"Mode.ai is an AI-powered fashion chatbot. The company's mission is to make shopping a visual and conversational experience. Its team consists of experts in the fields of computer vision, AI, and other engineering disciplines, together with strong business leaders. mode.ai's interactive user-experience and interface capitalizes on users' own holistic and subjective notions of similarity. Other existing apps for searching from images are all powered by machine understanding alone (Computer Vision and Machine Learning), and thus lack the performance and scope of mode.ai, which integrates the power of the human brain. mode.ai's cutting-edge AI is uniquely suited to facilitate visually-driven, conversational experiences.",mode.ai designs and develops an artificial intelligence powered shopping and styling chatbot. The company was founded in 2014 and is based in the United States.,"mode.ai builds AI-powered B2B2C visual virtual stylist bots for retailers and publishers, designed to drive customer engagement and sales."
Razorthink,razorthink.com,"Razorthink is an Enterprise AI Systems company that powers organizations with deep Learning intelligent systems that drive decisions, efficient processes and ideal outcomes.","Razorthink Inc. develops an artificial intelligence (AI) system that provides organizations with deep learning intelligent systems for making decisions and efficient processes. It offers Razorthink Big Brain, a solution that enables companies to create expert AIs that solve data analysis challenges. The companys solutions include automated loan processing and underwriting AI, revenue producing AI solutions, fraud detection and deterrence AI, and intelligent document management AI. Razorthink Inc. was founded in 2015 and is based in Redwood City, California. It has a research and development center in Bengaluru, India.",Razorthink is an Enterprise AI Solutions company that empowers organizations with business-ready AI that drives.
RCM Brain,rcmbrain.com,"RCM Brain is a software and services company that enables healthcare revenue cycle management companies and departments to work smarter and faster. The company uses a combination of machine learning, robotic process automation, and workflow communications to stop revenue leakage and increase staff productivity. The company provides billing automation, AR cleanup services, and more.","RCM Brain, Inc. develops and builds an artificial intelligence (AI) technology that understands revenue cycle ranging from coding to posting and simplifies human work. It offers Beth, an AI system that that logs into the current software systems scrub and track claims; respond to denials; post payments; and manage workflow. The company serves providers and billing companies. RCM Brain, Inc. was founded in 2017 and is based in Louisville, Kentucky.",RCM Brain is a company that helps make the medical billing industry more efficient.
Recogni,recogni.com,"Recogni is designing a vision-oriented artificial intelligence system. The system will deliver inference performance through edge processing, allowing vehicles to see farther and make driving decisions faster than humans while consuming minimal amounts of energy.","Recogni Inc. develops artificial intelligence (AI) based cameras and processors for the real time identification of objects. The company offers inferencing system module and chips for the sensor fusion of visual and depth sensor data; and performance, power, and visual range optimization of the autonomous vehicles. It serves the automotive industry in Germany and the US. The company was founded in 2017 and is headquartered in San Jose, California with an additional office in Munchen, Germany.",Developer of a visual perception platform designed for autonomous driving.
Recurrency,recurrency.ai,Recurrency is an artificial intelligence tool that helps wholesale distributors and B2B retailers automate and optimize their pricing and sales processes.,"Recurrency, Inc. develops an artificial intelligence tool that allow wholesale distributors and business-to-business retailers to automate and optimize their pricing and sales processes. It offers dynamic pricing, predictive customer targeting, customer retention, and recommendations. The company was incorporated in 2018 and is based in San Leandro, California.",Recurrency AI helps wholesale distributors and B2B retailers automate and optimize their pricing and sales processes.
Reflektion,reflektion.com,"Reflektion provides a predictive analytics platform and easily deployable solutions for retailers and brands. The company offers a quick and easy way for retailers and brands to achieve greater revenue, better conversion and more page views, without investing in new systems. Reflektion does the number crunching, deep learning and application delivery from the cloud on a subscription basis. Reflektion's patented algorithms reduce computational overhead by hundreds of times, enable modeling of millions of users every day and predict with high confidence what customers will do next.","Reflektion, Inc. develops an artificial intelligence driven predictive marketing software. Its customer engagement platform combines individual shopper insights, product intelligence, and deep learning to create impactful commerce experiences. The company offers e-commerce solutions that include Personalized Site Search, a solution that leads visitors with a path to various products; Predictive Product Recommendations, a platform that creates a one-to-one connection with shoppers; and a mobile solution that unifies customers shopping by integrating various devices. The company also provides marketing solutions, such as one-to-one personalized email, content optimization, and one-to-one display advertising solutions; and analytic solutions that include control panel, personalization dashboard, and customer centric insights. In addition, it offers behavioral email solution, which features individualized email triggers, such as abandoned cart and abandoned browse; delivers individually-tailored emails by responding directly to every individuals' shopping behavior; and equips retailers to deliver the engaging and relevant email experience on the market. It has strategic alliance with Mad Mobile and strategic partnerships with Oracle Responsys and Bronto. Reflektion, Inc. was incorporated in 2012 and is based in San Mateo, California with an additional office in Chicago, Illinois.",Reflektion understands the individual intent and preferences of each customer and intelligently responds in real time.
Rehinged,rehinged.ai,"Rehinged is a data science company that uses machine learning and artificial intelligence to predict how technology startups will perform, and how existing and new markets will be affected by technology.","Rehinged, Inc., a machine intelligence company, develops a technology platform to predict how technology startups perform and how existing and new markets would be affected by the technology. Rehinged, Inc. was formerly known as HingedAI, Inc. and changed its name to Rehinged, Inc. in March 2018. The company was incorporated in 2018 and is based in San Diego, California.",Rehinged is a developer of machine intelligence technology designed to predict the performance of technology startups.
Relativity6,relativity6.com,Relativity6 is an analytics company that uses artificial intelligence to help insurance organizations retain customers.,"Relativity6, Inc. develops a machine learning/AI platform which enables carriers and brokers to discover ways to bring back lapsed customers. It offers predictive statistical models, machine learning algorithms, and randomized field experiments. Its statistical models utilize unresponsive customer transaction, behavioral, demographic, and digital footprint data to predict which customers are willing to return to a clients business; estimate the value of each high potential unresponsive customer by predicting their second lifetime value; and run various randomized real-time field experiments. The company was incorporated in 2016 and is based in Cambridge, Massachusetts.",Relativity6 is a machine learning platform that enables organizations to better retain and serve their customers.
Resemble AI,resemble.ai,Resemble AI creates custom voices using proprietary deep learning models that can produce realistic speech synthesis.,"Resemble AI develops a speech-generating device and software solution. The company's technology uses speech recordings to create a personalized digital voice. The company offers voice cloning solutions consumed via web or API; creates fictitious voices from digital characters and games; and provides detection of voice solutions. The company serves the entertainment sector and marketing agencies. The company was founded in 2019 and is headquartered in Toronto, Canada.",Resemble AI creates Custom Voices using proprietary Deep Learning models that can produce realistic Speech Synthesis.
Resonance AI,resonanceai.com,Resonance AI provides data that helps content creators figure out what resonates with an audience.,"Resonance AI develops a platform that identifies the building blocks of the video contents. Its platform uses machine learning and analyses contents, such as dialogue and music of the videos, and offers insights to the audience. Resonance AI was formerly known as Transform, Inc. The company was incorporated in 2014 and is based in Seattle, Washington.","Resonance AI specializes in the fields of artificial intelligence, analytics, and video streaming."
Respeecher,respeecher.com,"Respeecher uses AI technology to change voices, allowing one person to speak in the voice of another.","Respeecher, Inc. develops artificial intelligence (AI) based voice cloning platform. The company through its platform allows the users to speak in the voice of another person. Its platform allows to dub movies and television shows while keeping the same voice and provides audiobooks that make audiobooks with the authors voice. It also enables the users to make call centers with one voice that target different voices at different customers. It also helps users with speech problems. Respeecher, Inc. was founded in 2017 and is based in Seattle, Washington.",We build high fidelity voice cloning (voice conversion) systems using deep neural networks.
retrain.ai,retrain.ai,"retrain.ai develops an AI platform for knowledge, skills and qualifications assessment, jobs and workforce retraining in order to upskill today’s workforce for the jobs of tomorrow.","Retrain.ai, Inc. develops AI platform for knowledge, skills and qualifications assessment, jobs, and workforce retraining. Its platform offers skills mapping, recruitment match intelligence, workforce management, talent transformation, and talent retraining services. The company was incorporated in 2020 and is based in New York, New York with additional offices in London, United Kingdom and Tel Aviv, Israel.",retrain.ai which uses AI and machine learning to read job boards at scale and gain insight into where the job market is going.
Reverie Labs,reverielabs.com,Reverie Labs uses machine learning techniques to help pharmaceutical companies improve their drug design pipelines.,"Reverie Labs, Inc. uses machine learning algorithms to predict the bio physicochemical properties of drug candidates for pharmaceutical companies. The company accelerates the preclinical development by applying machine learning to lead generation and optimization. It develops structure-based predictive models for potency of small molecules. It also develops a multi-objective molecular optimizer that applies algorithms to conceive new molecules that maintains potency and synthesizability. It prioritizes and optimizes molecules so they can go to animal and human clinical trials more quickly. The company was incorporated in 2017 and is based in Cambridge, Massachusetts.",Reverie Labs is a machine learning-driven pharma company.
RichRelevance,richrelevance.com,"RichRelevance specializes in AI-powered experience personalization, driving digital growth and brand loyalty for B2C and B2B brands and retailers. The company leverages advanced AI technologies to bridge the experience gap between marketing and commerce to help digital marketing leaders stage memorable experiences that speak to individuals – in real time, and across the customer lifecycle. On November 6, 2019, RichRelevance was acquired by Manthan Software Services, terms of the agreement were not disclosed.On January 19th, 2021, RichRelevance merged with Algonomy. Terms of the transaction were not disclosed.","RichRelevance, Inc. develops and operates an omnichannel personalization platform providing individualization, behavioral messaging, site optimization, and in-store personalization services. Its products include XEN AI, an artificial intelligence-based decision-making platform; Build, a platform for managing retail experiences; and a cloud platform. It serves retail, manufacturing, travel, and hospitality sectors. The company was founded in 2006 and is based in San Francisco, California with additional offices in New York, New York; and Seattle, Washington. As of January 19, 2021, RichRelevance, Inc. operates as a subsidiary of Manthan Software Services Pvt. Ltd.",RichRelevance is the world’s leading personalization provider.
Riverain Technologies,riveraintech.com,Riverain Technologies provides healthcare artificial intelligence software tools used to efficiently detect diseases at its earliest stages.,"Riverain Technologies LLC provides healthcare artificial intelligence software solutions to detect lung diseases. It offers ClearRead CT, a suite of applications that detects and compares vessel suppress. The company also provides ClearRead X-ray solutions that detects, confirms, and compares bone suppress; and technology support services. Riverain Technologies LLC was founded in 2004 and is based in Miamisburg, Ohio.",Riverain Technologies provides physicians with tools to assist in image interpretation.
Robust AI,robust.ai,Robust AI develops an industrial-grade cognitive engine.,"Robust AI, Inc. develops a industrial-grade cognitive platform that brings common sense reasoning to robots. The company was founded in 2019 and is based in Palo Alto, California.",Robust Intelligence is a provider of an AI security and reliability platform that secures the deployment of artificial intelligence.
Robust Intelligence,robustintelligence.com,"Robust Intelligence builds products that integrate seamlessly into the AI development life cycle to ensure robustness and reliability. Its customers include technology companies, financial institutions, and government agencies.","Robust Intelligence, Inc. develops software that integrate into the AI development life cycle. The company was incorporated in 2019 and is based in San Francisco, California.",Creating a New Foundation for the Future of Robotics
Rocket Cloud,rocketcl.com,"Rocket Cloud provides cloud and machine learning-based software solutions. Its third party enablement solution allows user to sell everday skus, overstock inventory, dead inventory, or scratch-and-dent items on third party channels including Amazon, Ebay, Jet, Walmart, and more. Its API allows users to use their current ERP system.","Rocket Cloud, Inc. develops cloud and machine learning-based software solutions. It specializes in the integration software for Legacy ERP systems and build material wholesale. The company was founded in 2017 and is based in Bethlehem, Pennsylvania.",Rocket Fuel is a programmatic media-buying platform developing artificial intelligence to improve marketing ROI in digital media.
Rocket Fuel,rocketfuel.com,"Rocket Fuel is a provider of artificial intelligence advertising solutions that transform digital media campaigns into self-optimizing engines that learn and adapt in real-time, and deliver results from awareness to sales. Rocket Fuel powers advertising across display, video, mobile, and social media.","Rocket Fuel Inc. develops an artificial intelligence-driven demand side platform (DSP), which uses big data and vast computational infrastructure to purchase and deliver real-time automated digital advertising campaigns that are measurable against direct response and brand objectives. The company also provides data management platform that allows marketers to ingest, analyze, segment, and export their own and third-party audience data for advertising, customer relationship management, email marketing, call-center routing, or other opportunities to touch consumers with a message or call-to-action; and multi-modal advertising optimization platform that enables marketers to execute programmatic advertising campaigns. Rocket Fuel Inc. markets and sells its solutions through direct sales teams, such as advertising agencies and advertisers; and through resellers and channel partners. It offers its product in the United States, Canada, the United Kingdom, Australia, France, Germany, Italy, Spain, and Sweden. The company was founded in 2008 and is based in Redwood City, California. Rocket Fuel Inc. operates as a subsidiary of Sizmek Inc.",RocketCloud is the leader in a Data arms race to capture $300B of supply chain data that has never seen the power of cloud computing.
Rosebud AI,rosebud.ai,Rosebud AI creates lifelike digital fashion and apparel models through artificial intelligence. It allows brands to highly target their marketing and e-commerce displays with models that match users' demographic information.,"Rosebud AI, Inc. designs and develops a software that allows companies to create digital avatars and models for any occasion. The software allows users to filter the digital avatar by demographic, age, and style. The company is based in San Francisco, California.",Rosebud AI uses deep learning to create photos and videos of virtual models for brand advertising and entertainment.
SambaNova Systems,sambanova.ai,"SambaNova Systems is a software-defined analytics platform that enables optimal performance for ML training, inference and analytics models.","SambaNova Systems, Inc. develops a systems platform to run artificial intelligence (AI) applications. It provides an analytics platform that enables optimum performance for any ML training, inference, or analytics models. Its products include DataScale, which is an integrated software and hardware systems platform optimized from algorithms to silicon; and Dataflow-as-a-Service, which helps users to deploy models to accelerate artificial intelligence (AI) workloads. The company was incorporated in 2017 and is based in Palo Alto, California.",SambaNova Systems builds AI hardware and integrated systems to run AI applications from the data center to the cloud.
